ref,quantity,manufacturer,model,description,critical_spec,verification,source,budget_usd_each
M01,1,Local metal supplier,Custom ballast disc,Steel ballast plate,"Mild steel diameter180 thickness6 mm; 4 holes diameter4.4 at XY(+/-45,+/-35); 4 holes diameter3.4 at XY(+/-26,-36/-8); deburr; approx1.19kg",Custom drawing geometry only,https://www.onlinemetals.com/,25
M02,1,Generic,6808-2RS,Yaw support bearing,"40mm bore x52mm OD x7mm width; sealed deep groove",Measure fit coupon then ream printed seat as needed,https://www.skf.com/group/products/rolling-bearings/ball-bearings/deep-groove-ball-bearings,12
M03,4,Generic,M4x25,Base and tray bolts,"M4 x25 socket head; steel plate6 + floor3 + spacer5 + tray3",Nominal stack specified,,0.25
M04,4,Generic,M4x5 spacer,Tray standoffs,"Metal spacer5mm length; 4.3mm bore; OD8 minimum",Do not substitute compressible foam,,0.4
M05,4,Generic,M4 nut,M4 lock nuts,ISO metric nyloc,, ,0.12
M06,8,Generic,M4 washer,M4 load spreading washers,OD12 minimum,, ,0.06
M07,4,Generic,M3x16,Yaw cradle through bolts,"Through printed cradle3 steel6 and base3; nuts below base; tray has7mm head access",Check underside clearance to desk,,0.16
M08,2,Generic,M3x50,Yaw rear body clamp bolts,"Through bottom3 + body40.5 + keeper2.6; do not overtighten case",Body clamp avoids loading the servo mounting ears,,0.3
M09,2,Generic,M3x60,Shoulder clamp bolts,Clamp through the52mm tower width and keeper plus nuts,, ,0.4
M10,4,Generic,M3x16,Shoulder foot bolts,6mm tower foot plus6mm platform plus nuts,, ,0.16
M11,6,Generic,M3x70,Arm link through bolts,"5+52+5mm stack plus nut;3 per link at X35 and around each servo block",All threads clear rotating hardware,,0.45
M12,8,Generic,M3x12 nominal with matching nuts,DS3218 straight-horn attachment sets,"Two per joint through adjustable printed slots; actual supplied horn hole size and thread are not documented",Measure each inventory horn before selecting final diameter length and nut arrangement,https://images-na.ssl-images-amazon.com/images/I/81Lbgu%2BnG6L.pdf,0.25
M14,6,Generic,M3x12,Base lid screws,Into2.8mm plastic-thread-forming printed pilots,, ,0.15
M15,4,Generic,M3x12,Head yoke screws,"6mm fork mounting face +3mm shell floor; nuts on inside",Check rear boss screw clearance,,0.15
M16,8,Generic,M3x10,Outer bezel screws,"4mm bezel +1mm shim;2.8mm plastic-thread-forming pilot",Tighten evenly to avoid diffuser distortion,,0.15
M17,4,Generic,M3x12,Central face screws,"4mm plate +1mm shim;2.8mm plastic-thread-forming pilot",Keep flange captured with0.2mm clearance,,0.15
M18,4,Generic,M3x10,White ring carrier screws,"2mm carrier on dedicated radius45 bosses at z32.5",No shared LCD post intersections,,0.15
M19,4,Generic,M3x25,LCD cradle and retaining plate screws,"3mm retainer +15mm cradle; thread into head pillar at z14",Use foam only on PCB edges; avoid display glass pressure,,0.2
M20,12,Generic,M3x1 shim,Precision axial shims,M3 bore; thickness1mm;12 under face and bezel,Thickness controls axial stack,,0.12
M21,20,Generic,M2.5x6,Pedestal sensor board screws,"Four per Adafruit3967 board into2.1mm blind pilots;20.32x12.70mm pattern",Start by hand and stop before the PCB bends,,0.12
M24,30,Generic,M3 nut,General M3 nuts,Include spare quantities for clamps horn interfaces and platform,, ,0.1
M25,50,Generic,M3 washer,General M3 flat washers,Nominal0.5mm; not replacement for1mm axial shims,, ,0.05
M26,4,Generic,M2.5x6,Raspberry Pi fasteners,"Pi4 four mounting holes; printed standoffs may be tappedM2.5",Do not force screws against board components,,0.12
M27,4,Generic,Rubber feet,Adhesive anti slip feet,"20mm diameter x5mm high minimum; place radius90",Provides underside fastener clearance,,0.4
M28,1,Generic,Translucent PETG,Frosted optical printing filament,"Natural/translucent; approximately60g including trials; solid1.2mm optical skin",Sand600-1000grit and test diffusion,,20
M29,1,Generic,PETG,Structural filament,"Approx1kg roll; actual slicer mass varies;6 walls on the arm link halves",Do not substitute brittle resin on structural joints,,22
M30,1,Generic,Neutral cure silicone,Small adhesive tube,3 small removable dots for inner diffuser; electronics compatible,Do not cover any optical aperture,,6
M31,1,Generic,Thin PCB foam,Closed cell foam tape,"0.5 and1mm thickness; LCD edge preload only",Set LCD stack with measured sample,,4
M32,1,Generic,LED retaining tape,Electronics compatible thin adhesive strips,Attach LED ring PCB on support posts without covering LED optics,, ,3
M33,1,Generic,Desk clamp,Optional commercial padded desk clamp,"Use only if assembly reach/mass exceeds validated stable envelope; not a printed load bearing clamp",Clamp base rim without crushing printed walls,,12
M34,12,Generic,M2.5x12,Optional harness clip screws,For6 printed cable saddles; use selftapped pilots or cableties,, ,0.12
M35,3,Generic,625-2RS,Pitch-joint idler bearings,5mm bore x16mm OD x5mm width; sealed,Press into16.2mm coupon and link/yoke pockets without loading the inner race,,3
M36,3,Generic,M5x16 shoulder bolt or precision-shank bolt,Pitch-joint idler axles,Smooth5mm shank across each625 inner race; one shoulder elbow wrist,Confirm shank and thread lengths against actual bearing and captive nut,,0.8
M37,3,Generic,M5 nyloc nut,Pitch-joint captive idler nuts,ISO metric; one in each printed hex trap,Must seat fully without splitting printed boss,,0.2
M38,6,Generic,M5 washer,Idler bearing thrust washers,One each side of every625 inner race; thin hardened steel,Must not rub bearing outer race,,0.12
D10,4,Generic,M4x8,Optional LCD carrier to display screws,"Through5mm carrier pad into the4mm deep M4 case bosses; longer screws bottom out",Do not exceed8mm; check engagement on the purchased display,,0.15
D11,4,Generic,M3x8,Optional carrier to shell screws,"Into2.8mm printed pilots at(+/-55,+/-38) top20.5",Accessible from the front with the display fitted,,0.15
D12,4,Generic,M3x12,Optional face ring screws,"4mm ring +1mm shim;2.8mm pilots at radius67.8",Keep flange captured with0.2mm clearance,,0.15
D14,1,Generic,Thin closed cell foam tape,Optional LCD rim preload,"0.5mm between the display case rim and the face ring; also under the carrier pads if the boss ends are not coplanar",Set with the purchased display,,2
